success-rate,reward,collision-rate
100.0,0.5653754781173094,0.8478595857399395
100.0,0.580687495144158,0.6591434796551611
100.0,0.6541683149609592,0.5483112454379497
100.0,0.30777343372900245,0.6427110968473494
100.0,0.6597897751493941,0.9413431523126942
100.0,0.04428729932913611,0.067838286112605
100.0,0.9503344318141244,0.3885121898735956
100.0,0.3912935488454071,0.39153694127449534
100.0,0.46778694123138675,0.17096032689569152
100.0,0.41099251545485727,0.0954977338734776
100.0,0.535366319368855,0.15902285011599204
100.0,0.6253764634925026,0.9982013222471354
100.0,0.3104204087587642,0.17699094387409597
100.0,0.8778286561040377,0.7345978342408643
100.0,0.544082653270933,0.27451932881212715
100.0,0.9193858610192976,0.6130458242113747
100.0,0.851076192406547,0.5613934057828965
100.0,0.2005322908449516,0.10240458588833812
100.0,0.9661629800400048,0.2647063377586447
100.0,0.40547558782311943,0.3315756243128346
100.0,0.20311938514595462,0.6290583342730824
100.0,0.420687570483388,0.22514980791189898
100.0,0.31150831977551885,0.708609917181265
100.0,0.37930354319438,0.4715639466320686
100.0,0.9298937791285277,0.8996196563081905
100.0,0.3774293215588753,0.8088561226993201
100.0,0.08284338066627772,0.20854901540715154
100.0,0.5996513693228628,0.5743735612526061
100.0,0.1790958105221354,0.0015257143164801867
100.0,0.8760470197182029,0.5436377878985669
100.0,0.8105221011682889,0.9500864375323742
100.0,0.6905910043989589,0.853702546272857
100.0,0.4979246149242388,0.8155791802086162
100.0,0.4759907968645476,0.41275467811691735
100.0,0.39114251507582687,0.81398448529123
100.0,0.11880142935901472,0.9404698953636746
100.0,0.35544236086342895,0.5046386346263589
100.0,0.8673611005363154,0.7372859706584107
100.0,0.12746279651846826,0.0023391878377275743
100.0,0.2403178178272204,0.6317217739407694
100.0,0.014901465605592912,0.9201291517336745
100.0,0.8171760618917553,0.7377244571023588
100.0,0.4273616785243842,0.2291962001120713
100.0,0.40058123656279787,0.8348999659069676
100.0,0.8627331766042854,0.4795239486165387
100.0,0.07364257528752449,0.02264654276018574
100.0,0.7697921115337194,0.30581951675388763
100.0,0.5155492636117525,0.4607330457765597
100.0,0.9260201138291565,0.5685223185089093
100.0,0.5254028877996738,0.5668034772106996
100.0,0.17252226000022675,0.7604575831117835
100.0,0.5949012600778545,0.4563890335735997
100.0,0.41986208052517515,0.7713298585212113
100.0,0.16717987487844466,0.0064505295514302174
100.0,0.41219789387525974,0.0866427161015565
100.0,0.03178315054732872,0.439163916185472
100.0,0.9473993889924042,0.5032823415440316
100.0,0.48229322357562243,0.20537566574372623
100.0,0.2630671165849019,0.1320084325723303
100.0,0.7934040649306083,0.8686881696360047
100.0,0.4649595069993132,0.724133209385595
100.0,0.33468702972645004,0.4776383275678391
100.0,0.562771086525527,0.5778557833521567
100.0,0.4972313693184599,0.35171129352090125
100.0,0.19255353499855288,0.41068109503478556
100.0,0.23199345974344776,0.7732298700967474
100.0,0.8579351316429124,0.5134131508110659
100.0,0.402014575645111,0.455392880117645
100.0,0.2889063191163369,0.4714556876450615
100.0,0.9119431157324844,0.4989710041851064
100.0,0.16691356945544666,0.5914940433902989
100.0,0.8529200505908577,0.5641254975100874
100.0,0.22283834937919156,0.6926971202677071
100.0,0.762042557404432,0.6688101389438699
100.0,0.6662468212189678,0.021255892391673692
100.0,0.9189278968497853,0.09880706735216704
100.0,0.8630128073501911,0.45065678726721825
100.0,0.00522755715259815,0.7715709492816993
100.0,0.6127957337915232,0.3777451680104714
100.0,0.777713395031228,0.17901918529607697
100.0,0.16903872788745278,0.6928892553462851
100.0,0.09450014216186342,0.8224491116768441
100.0,0.6432884418833693,0.3299464545879579
100.0,0.38899303801661567,0.23760220894065798
100.0,0.33535900141833175,0.9066649292700417
100.0,0.6695532003091909,0.5108785299564568
100.0,0.7642947029120404,0.766325098977511
100.0,0.5278273530262819,0.3485962088146133
100.0,0.37343041933261456,0.07215589813853052
100.0,0.6290764384905092,0.6500097567741979
100.0,0.43474845219001346,0.9275405355140354
100.0,0.05757811547788694,0.48528355155461766
100.0,0.778738755924861,0.5466884481348432
100.0,0.25271283911554887,0.9779707443344163
100.0,0.6779728665183794,0.8463752526655577
100.0,0.39657096237160117,0.9083092027986421
100.0,0.8122803377067855,0.41397322641255174
100.0,0.21041587982383014,0.5680256749250694
100.0,0.8526211848864321,0.2877425274118528
100.0,0.5720080843798436,0.21702864053666238
100.0,0.9098632654207892,0.17068048460506002
100.0,0.3656605372007625,0.6112162416331433
100.0,0.019057786734984483,0.3223888936897248
100.0,0.4100651958209576,0.9916603714670086
100.0,0.9016839205832898,0.7677023185846844
100.0,0.6288202312122865,0.8214246102524485
100.0,0.6257278585274556,0.7584440526528665
100.0,0.7937806752356877,0.8123314382954945
100.0,0.688049544670659,0.5206511285663964
100.0,0.2812480559539825,0.020530641967218988
100.0,0.6736316380321287,0.9371465286530516
100.0,0.45243449779093425,0.041301880524123424
100.0,0.1681851274358317,0.02636210948835671
100.0,0.9708425028514545,0.23968019481247083
100.0,0.9068677095451537,0.2426122296206331
100.0,0.42181113113150104,0.554075669383596
100.0,0.29326855551892317,0.533398312732964
100.0,0.2993366985303495,0.808495284748598
100.0,0.1167197234144145,0.5324526224320132
